,text,label,preprocessed_text
1126,DO NOT PURCHASE THIS PHONE.,negative,do not purchase phone
1924,I really enjoyed Crema Café before they expanded; I even told friends they had the BEST breakfast.,positive,really enjoy crema cafe expand even told friend have best breakfast
384,Works like a charm; it work the same as the one I got with the phone.,positive,work like charm work one get phone
1234,"This is one I did not have, but I watched it recently on Fox Movie Channel, and was very disappointed.  ",negative,be one do not have watch recently fox movie channel be very disappointed
1103,Any ring tone..Overall good phone to buy..,positive,any ring tone overall good phone buy
1596,"It's pretty surprising that this wonderful film was made in 1949, as Hollywood generally had its collective heads in the sand concerning black and white issues at that time.  ",positive,be pretty surprising wonderful film be make one thousand nine hundred forty nine hollywood generally have collective head sand concern black white issue time
2470,"but it is great, i would really recommend it",positive,be great would really recommend
234,you could only take 2 videos at a time and the quality was very poor.,negative,could take two videos time quality be very poor
1839,Who in their right mind is gonna buy this battery?.,negative,right mind be go buy battery
2431,Terrible.. My car will not accept this cassette.,negative,terrible car not accept cassette
56,If you haven't gone here GO NOW!,positive,have not go go now
1161,Went for lunch - service was slow.,negative,go lunch service be slow
42,"Good food , good service .",positive,good food good service
43,It's too bad the food is so damn generic.,negative,be too bad food be damn generic
791,AN HOUR... seriously?,negative,hour seriously
345,This is a great restaurant at the Mandalay Bay.,positive,be great restaurant mandalay bay
1570,"If you like a loud buzzing to override all your conversations, then this phone is for you!",negative,like loud buzz override conversation phone be you
2553,I checked out this place a couple years ago and was not impressed.,negative,check out place couple year ago be not impressed
2002,Iam very pleased with my purchase.,positive,iam very pleased purchase
1149,"Now the burgers aren't as good, the pizza which used to be amazing is doughy and flavorless.",negative,burger be not good pizza use be amazing be doughy flavorless
1959,I gave it a 10  ,positive,give ten
651,Your brain will attempt to shut-down as part of a primal impulse of self-preservation.  ,negative,brain attempt shut down part of primal impulse of self preservation
900,I highly recommend this case.,positive,highly recommend case
1464,"This is a good battery, and it got here really fast.",positive,be good battery get really fast
2532,"The best place in Vegas for breakfast (just check out a Sat, or Sun.",positive,best place vega breakfast just check out sat sun
535,"Come hungry, leave happy and stuffed!",positive,come hungry leave happy stuffed
473,This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.,positive,product be great make work lot easy can go copier wait hold something
1127,He came running after us when he realized my husband had left his sunglasses on the table.,positive,come run u realized husband have leave sunglass table
1148,A good commentary of today's love and undoubtedly a film worth seeing.  ,positive,good commentary of today s love undoubtedly film worth see
2589,The sound quality is good and functionality is awesome.,positive,sound quality be good functionality be awesome
1854,It's a great item.,positive,be great item
2084,"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",negative,hate disagree fellow yelpers husband be disappointed place
2379,The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.,positive,pairing of two device be easy barely take couple minute start make call voice dial feature
1601,Don't bother coming here.,negative,do not bother come here
2121,This is an excellent film.  ,positive,be excellent film
2025,"I know that Jim O'Connor was very energetic and that nobody could be as much as him, but George was well dull.  ",negative,know jim o connor be very energetic nobody could be much him george be well dull
564,"The design is very odd, as the ear ""clip"" is not very comfortable at all.",negative,design be very odd ear clip be not very comfortable all
1230,The atmosphere here is fun.,positive,atmosphere be fun
98,Nice Sound.,positive,nice sound
2576,"This is a very ""right on case"" movie that delivers everything almost right in your face.  ",positive,be very right case movie delivers everything almost right face
